"PASSENGERS","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","AIRCRAFT_TYPE","MONTH",
604.00,"UA","United Air Lines Inc.",10713,"BOI","Boise, ID",11292,"DEN","Denver, CO","698",12,
605.00,"3M","Silver Airways",11697,"FLL","Fort Lauderdale, FL",15304,"TPA","Tampa, FL","456",12,
605.00,"1SQ","Star Marianas Air Inc.",14955,"SPN","Saipan, TT",14582,"ROP","Rota, TT","194",12,
605.00,"G4","Allegiant Air",10466,"AZA","Phoenix, AZ",15380,"TVC","Traverse City, MI","694",12,
605.00,"UA","United Air Lines Inc.",14771,"SFO","San Francisco, CA",14492,"RDU","Raleigh/Durham, NC","698",12,
606.00,"OO","SkyWest Airlines Inc.",11292,"DEN","Denver, CO",15370,"TUL","Tulsa, OK","631",12,
606.00,"UA","United Air Lines Inc.",11278,"DCA","Washington, DC",14771,"SFO","San Francisco, CA","623",12,
606.00,"OH","PSA Airlines Inc.",10599,"BHM","Birmingham, AL",11057,"CLT","Charlotte, NC","629",12,
606.00,"MQ","Envoy Air",14952,"SPI","Springfield, IL",13930,"ORD","Chicago, IL","675",12,
607.00,"MQ","Envoy Air",11111,"COU","Columbia, MO",13930,"ORD","Chicago, IL","675",12,
607.00,"MQ","Envoy Air",13930,"ORD","Chicago, IL",10257,"ALB","Albany, NY","673",12,
607.00,"PT","Piedmont Airlines",11995,"GSO","Greensboro/High Point, NC",11057,"CLT","Charlotte, NC","675",12,
607.00,"YV","Mesa Airlines Inc.",14814,"SHV","Shreveport, LA",12266,"IAH","Houston, TX","673",12,
607.00,"YX","Republic Airline",13930,"ORD","Chicago, IL",10785,"BTV","Burlington, VT","677",12,
608.00,"UA","United Air Lines Inc.",15376,"TUS","Tucson, AZ",12266,"IAH","Houston, TX","612",12,
608.00,"OO","SkyWest Airlines Inc.",10409,"ATY","Watertown, SD",13930,"ORD","Chicago, IL","629",12,
608.00,"OO","SkyWest Airlines Inc.",13487,"MSP","Minneapolis, MN",16869,"XWA","Williston, ND","638",12,
609.00,"4B","Boutique Air",10272,"ALS","Alamosa, CO",11292,"DEN","Denver, CO","479",12,
