"PASSENGERS","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","AIRCRAFT_TYPE","MONTH",
336.00,"SY","Sun Country Airlines d/b/a MN Airlines",11278,"DCA","Washington, DC",13487,"MSP","Minneapolis, MN","614",4,
336.00,"ZW","Air Wisconsin Airlines Corp",10994,"CHS","Charleston, SC",13930,"ORD","Chicago, IL","629",4,
336.00,"ZW","Air Wisconsin Airlines Corp",13930,"ORD","Chicago, IL",10994,"CHS","Charleston, SC","629",4,
336.00,"MQ","Envoy Air",12448,"JAN","Jackson/Vicksburg, MS",11298,"DFW","Dallas/Fort Worth, TX","673",4,
336.00,"WN","Southwest Airlines Co.",11540,"ELP","El Paso, TX",11292,"DEN","Denver, CO","614",4,
336.00,"WN","Southwest Airlines Co.",14122,"PIT","Pittsburgh, PA",13495,"MSY","New Orleans, LA","612",4,
336.00,"AA","American Airlines Inc.",14262,"PSP","Palm Springs, CA",14107,"PHX","Phoenix, AZ","698",4,
337.00,"F9","Frontier Airlines Inc.",15356,"TTN","Trenton, NJ",14492,"RDU","Raleigh/Durham, NC","694",4,
337.00,"UA","United Air Lines Inc.",13930,"ORD","Chicago, IL",11066,"CMH","Columbus, OH","614",4,
337.00,"PT","Piedmont Airlines",11057,"CLT","Charlotte, NC",12323,"ILM","Wilmington, NC","675",4,
337.00,"SY","Sun Country Airlines d/b/a MN Airlines",13487,"MSP","Minneapolis, MN",11278,"DCA","Washington, DC","614",4,
337.00,"SY","Sun Country Airlines d/b/a MN Airlines",14262,"PSP","Palm Springs, CA",14057,"PDX","Portland, OR","614",4,
337.00,"WN","Southwest Airlines Co.",13204,"MCO","Orlando, FL",11986,"GRR","Grand Rapids, MI","614",4,
337.00,"WN","Southwest Airlines Co.",14027,"PBI","West Palm Beach/Palm Beach, FL",12953,"LGA","New York, NY","612",4,
337.00,"1WQ","Ultimate JetCharters LLC dba Ultimate Air Shuttle",13105,"LUK","Cincinnati, OH",11057,"CLT","Charlotte, NC","632",4,
338.00,"F9","Frontier Airlines Inc.",10821,"BWI","Baltimore, MD",13204,"MCO","Orlando, FL","722",4,
338.00,"AS","Alaska Airlines Inc.",12892,"LAX","Los Angeles, CA",14747,"SEA","Seattle, WA","612",4,
338.00,"NK","Spirit Air Lines",11042,"CLE","Cleveland, OH",14635,"RSW","Fort Myers, FL","722",4,
338.00,"UA","United Air Lines Inc.",13256,"MFE","Mission/McAllen/Edinburg, TX",12266,"IAH","Houston, TX","612",4,
338.00,"3E","Multi-Aero, Inc. d/b/a Air Choice One",13930,"ORD","Chicago, IL",10744,"BRL","Burlington, IA","415",4,
339.00,"YX","Republic Airline",13930,"ORD","Chicago, IL",12124,"HHH","Hilton Head, SC","677",4,
339.00,"AS","Alaska Airlines Inc.",14747,"SEA","Seattle, WA",15016,"STL","St. Louis, MO","612",4,
339.00,"SY","Sun Country Airlines d/b/a MN Airlines",10423,"AUS","Austin, TX",13487,"MSP","Minneapolis, MN","612",4,
339.00,"OO","SkyWest Airlines Inc.",11292,"DEN","Denver, CO",13486,"MSO","Missoula, MT","629",4,
339.00,"WN","Southwest Airlines Co.",11259,"DAL","Dallas, TX",14893,"SMF","Sacramento, CA","614",4,
339.00,"AA","American Airlines Inc.",12892,"LAX","Los Angeles, CA",14107,"PHX","Phoenix, AZ","622",4,
340.00,"F9","Frontier Airlines Inc.",12889,"LAS","Las Vegas, NV",10693,"BNA","Nashville, TN","694",4,
340.00,"NK","Spirit Air Lines",14107,"PHX","Phoenix, AZ",13487,"MSP","Minneapolis, MN","699",4,
340.00,"SY","Sun Country Airlines d/b/a MN Airlines",15304,"TPA","Tampa, FL",13485,"MSN","Madison, WI","614",4,
340.00,"9K","Cape Air",10721,"BOS","Boston, MA",14875,"SLK","Saranac Lake/Lake Placid, NY","125",4,
340.00,"OO","SkyWest Airlines Inc.",11298,"DFW","Dallas/Fort Worth, TX",13256,"MFE","Mission/McAllen/Edinburg, TX","631",4,
340.00,"OO","SkyWest Airlines Inc.",14576,"ROC","Rochester, NY",12264,"IAD","Washington, DC","629",4,
341.00,"F9","Frontier Airlines Inc.",13204,"MCO","Orlando, FL",10423,"AUS","Austin, TX","694",4,
341.00,"AS","Alaska Airlines Inc.",14747,"SEA","Seattle, WA",10666,"BLI","Bellingham, WA","634",4,
341.00,"G4","Allegiant Air",14122,"PIT","Pittsburgh, PA",14761,"SFB","Sanford, FL","694",4,
341.00,"9K","Cape Air",11908,"GGW","Glasgow, MT",10620,"BIL","Billings, MT","125",4,
341.00,"OO","SkyWest Airlines Inc.",13930,"ORD","Chicago, IL",12278,"ICT","Wichita, KS","631",4,
341.00,"AA","American Airlines Inc.",14107,"PHX","Phoenix, AZ",14683,"SAT","San Antonio, TX","699",4,
342.00,"F9","Frontier Airlines Inc.",13204,"MCO","Orlando, FL",10721,"BOS","Boston, MA","694",4,
342.00,"AS","Alaska Airlines Inc.",11433,"DTW","Detroit, MI",14747,"SEA","Seattle, WA","612",4,
342.00,"G4","Allegiant Air",15295,"TOL","Toledo, OH",14761,"SFB","Sanford, FL","694",4,
342.00,"NK","Spirit Air Lines",11042,"CLE","Cleveland, OH",10397,"ATL","Atlanta, GA","722",4,
342.00,"SY","Sun Country Airlines d/b/a MN Airlines",11637,"FAR","Fargo, ND",10590,"IFP","Bullhead City, AZ","614",4,
342.00,"9K","Cape Air",14875,"SLK","Saranac Lake/Lake Placid, NY",10721,"BOS","Boston, MA","125",4,
342.00,"WN","Southwest Airlines Co.",10423,"AUS","Austin, TX",13232,"MDW","Chicago, IL","614",4,
342.00,"YV","Mesa Airlines Inc.",13871,"OMA","Omaha, NE",11298,"DFW","Dallas/Fort Worth, TX","638",4,
343.00,"F9","Frontier Airlines Inc.",10721,"BOS","Boston, MA",13204,"MCO","Orlando, FL","694",4,
343.00,"F9","Frontier Airlines Inc.",13204,"MCO","Orlando, FL",13930,"ORD","Chicago, IL","722",4,
343.00,"NK","Spirit Air Lines",13204,"MCO","Orlando, FL",11066,"CMH","Columbus, OH","722",4,
343.00,"UA","United Air Lines Inc.",10785,"BTV","Burlington, VT",13930,"ORD","Chicago, IL","698",4,
343.00,"UA","United Air Lines Inc.",14893,"SMF","Sacramento, CA",13930,"ORD","Chicago, IL","888",4,
343.00,"NK","Spirit Air Lines",15304,"TPA","Tampa, FL",13487,"MSP","Minneapolis, MN","722",4,
343.00,"YX","Republic Airline",10693,"BNA","Nashville, TN",13930,"ORD","Chicago, IL","673",4,
343.00,"38Q","Key Lime Air Corporation",14812,"SHR","Sheridan, WY",14534,"RIW","Riverton/Lander, WY","632",4,
344.00,"YX","Republic Airline",12266,"IAH","Houston, TX",11986,"GRR","Grand Rapids, MI","673",4,
344.00,"NK","Spirit Air Lines",11433,"DTW","Detroit, MI",13487,"MSP","Minneapolis, MN","699",4,
344.00,"NK","Spirit Air Lines",14524,"RIC","Richmond, VA",11697,"FLL","Fort Lauderdale, FL","699",4,
344.00,"DL","Delta Air Lines Inc.",10423,"AUS","Austin, TX",10397,"ATL","Atlanta, GA","622",4,
344.00,"YX","Republic Airline",13931,"ORF","Norfolk, VA",12953,"LGA","New York, NY","677",4,
345.00,"NK","Spirit Air Lines",14122,"PIT","Pittsburgh, PA",13577,"MYR","Myrtle Beach, SC","722",4,
345.00,"9E","Endeavor Air Inc.",14783,"SGF","Springfield, MO",10397,"ATL","Atlanta, GA","631",4,
345.00,"WN","Southwest Airlines Co.",15304,"TPA","Tampa, FL",14683,"SAT","San Antonio, TX","614",4,
345.00,"MQ","Envoy Air",11298,"DFW","Dallas/Fort Worth, TX",14960,"SPS","Wichita Falls, TX","675",4,
345.00,"AA","American Airlines Inc.",14122,"PIT","Pittsburgh, PA",11298,"DFW","Dallas/Fort Worth, TX","699",4,
345.00,"F9","Frontier Airlines Inc.",14100,"PHL","Philadelphia, PA",14843,"SJU","San Juan, PR","694",4,
345.00,"DL","Delta Air Lines Inc.",11066,"CMH","Columbus, OH",10397,"ATL","Atlanta, GA","656",4,
345.00,"PT","Piedmont Airlines",11066,"CMH","Columbus, OH",14100,"PHL","Philadelphia, PA","675",4,
346.00,"NK","Spirit Air Lines",11298,"DFW","Dallas/Fort Worth, TX",11433,"DTW","Detroit, MI","722",4,
346.00,"UA","United Air Lines Inc.",12266,"IAH","Houston, TX",14679,"SAN","San Diego, CA","612",4,
346.00,"UA","United Air Lines Inc.",13930,"ORD","Chicago, IL",12266,"IAH","Houston, TX","698",4,
346.00,"LF","CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle",14131,"PKB","Parkersburg, WV",10654,"BKW","Beckley, WV","674",4,
346.00,"9K","Cape Air",13983,"OWB","Owensboro, KY",15016,"STL","St. Louis, MO","125",4,
346.00,"AA","American Airlines Inc.",11057,"CLT","Charlotte, NC",10721,"BOS","Boston, MA","698",4,
347.00,"F9","Frontier Airlines Inc.",11996,"GSP","Greer, SC",15304,"TPA","Tampa, FL","694",4,
347.00,"F9","Frontier Airlines Inc.",13204,"MCO","Orlando, FL",10821,"BWI","Baltimore, MD","722",4,
347.00,"AS","Alaska Airlines Inc.",14893,"SMF","Sacramento, CA",14679,"SAN","San Diego, CA","634",4,
347.00,"DL","Delta Air Lines Inc.",10397,"ATL","Atlanta, GA",13931,"ORF","Norfolk, VA","622",4,
347.00,"NK","Spirit Air Lines",13495,"MSY","New Orleans, LA",11292,"DEN","Denver, CO","722",4,
347.00,"YX","Republic Airline",11298,"DFW","Dallas/Fort Worth, TX",13930,"ORD","Chicago, IL","673",4,
347.00,"AA","American Airlines Inc.",10994,"CHS","Charleston, SC",11057,"CLT","Charlotte, NC","699",4,
348.00,"F9","Frontier Airlines Inc.",13931,"ORF","Norfolk, VA",13204,"MCO","Orlando, FL","694",4,
348.00,"DL","Delta Air Lines Inc.",11433,"DTW","Detroit, MI",10721,"BOS","Boston, MA","723",4,
348.00,"B6","JetBlue Airways",10693,"BNA","Nashville, TN",10721,"BOS","Boston, MA","678",4,
348.00,"UA","United Air Lines Inc.",10529,"BDL","Hartford, CT",12264,"IAD","Washington, DC","612",4,
348.00,"G7","GoJet Airlines LLC d/b/a United Express",15380,"TVC","Traverse City, MI",11433,"DTW","Detroit, MI","631",4,
348.00,"4B","Boutique Air",11298,"DFW","Dallas/Fort Worth, TX",11197,"CVN","Clovis, NM","458",4,
348.00,"9K","Cape Air",14539,"RKD","Rockland, ME",10721,"BOS","Boston, MA","125",4,
348.00,"9X","Southern Airways Express, dba Mokulele Airlines",12190,"HOT","Hot Springs, AR",11298,"DFW","Dallas/Fort Worth, TX","416",4,
349.00,"B6","JetBlue Airways",11697,"FLL","Fort Lauderdale, FL",10423,"AUS","Austin, TX","678",4,
