PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,AIRCRAFT_TYPE,MONTH,
0.00,FX,Federal Express Corporation,13891,ONT,Ontario, CA,13244,MEM,Memphis, TN,730,7,
0.00,FX,Federal Express Corporation,13891,ONT,Ontario, CA,13244,MEM,Memphis, TN,732,7,
0.00,FX,Federal Express Corporation,13891,ONT,Ontario, CA,13244,MEM,Memphis, TN,740,7,
0.00,FX,Federal Express Corporation,13891,ONT,Ontario, CA,13796,OAK,Oakland, CA,626,7,
0.00,FX,Federal Express Corporation,13891,ONT,Ontario, CA,13796,OAK,Oakland, CA,730,7,
0.00,FX,Federal Express Corporation,13891,ONT,Ontario, CA,13796,OAK,Oakland, CA,732,7,
0.00,FX,Federal Express Corporation,13891,ONT,Ontario, CA,14689,SBA,Santa Barbara, CA,110,7,
0.00,FX,Federal Express Corporation,13891,ONT,Ontario, CA,14689,SBA,Santa Barbara, CA,416,7,
0.00,FX,Federal Express Corporation,13891,ONT,Ontario, CA,14698,SBP,San Luis Obispo, CA,416,7,
0.00,FX,Federal Express Corporation,13891,ONT,Ontario, CA,14905,SMX,Santa Maria, CA,416,7,
0.00,FX,Federal Express Corporation,13930,ORD,Chicago, IL,10194,AFW,Dallas/Fort Worth, TX,622,7,
0.00,FX,Federal Express Corporation,13930,ORD,Chicago, IL,10194,AFW,Dallas/Fort Worth, TX,626,7,
0.00,FX,Federal Express Corporation,13930,ORD,Chicago, IL,11618,EWR,Newark, NJ,622,7,
0.00,FX,Federal Express Corporation,13930,ORD,Chicago, IL,12339,IND,Indianapolis, IN,626,7,
0.00,FX,Federal Express Corporation,13930,ORD,Chicago, IL,12339,IND,Indianapolis, IN,740,7,
0.00,FX,Federal Express Corporation,13930,ORD,Chicago, IL,12892,LAX,Los Angeles, CA,626,7,
0.00,FX,Federal Express Corporation,13930,ORD,Chicago, IL,12917,LCK,Columbus, OH,730,7,
0.00,FX,Federal Express Corporation,13930,ORD,Chicago, IL,13244,MEM,Memphis, TN,622,7,
0.00,FX,Federal Express Corporation,13930,ORD,Chicago, IL,13244,MEM,Memphis, TN,626,7,
0.00,FX,Federal Express Corporation,13930,ORD,Chicago, IL,13244,MEM,Memphis, TN,691,7,
0.00,FX,Federal Express Corporation,13930,ORD,Chicago, IL,13244,MEM,Memphis, TN,730,7,
0.00,FX,Federal Express Corporation,13930,ORD,Chicago, IL,13244,MEM,Memphis, TN,732,7,
0.00,FX,Federal Express Corporation,13930,ORD,Chicago, IL,13244,MEM,Memphis, TN,740,7,
0.00,FX,Federal Express Corporation,13930,ORD,Chicago, IL,13796,OAK,Oakland, CA,626,7,
0.00,FX,Federal Express Corporation,13931,ORF,Norfolk, VA,13244,MEM,Memphis, TN,691,7,
0.00,FX,Federal Express Corporation,13931,ORF,Norfolk, VA,13246,MEO,Manteo, NC,416,7,
0.00,FX,Federal Express Corporation,13964,OTH,North Bend/Coos Bay, OR,14467,RBG,Roseburg, OR,416,7,
0.00,FX,Federal Express Corporation,13964,OTH,North Bend/Coos Bay, OR,14871,SLE,Salem, OR,416,7,
0.00,FX,Federal Express Corporation,14027,PBI,West Palm Beach/Palm Beach, FL,13244,MEM,Memphis, TN,691,7,
0.00,FX,Federal Express Corporation,14027,PBI,West Palm Beach/Palm Beach, FL,14635,RSW,Fort Myers, FL,691,7,
0.00,FX,Federal Express Corporation,14054,PDT,Pendleton, OR,11884,GEG,Spokane, WA,416,7,
0.00,FX,Federal Express Corporation,14054,PDT,Pendleton, OR,12956,LGD,La Grande, OR,416,7,
0.00,FX,Federal Express Corporation,14057,PDX,Portland, OR,11193,CVG,Cincinnati, OH,740,7,
0.00,FX,Federal Express Corporation,14057,PDX,Portland, OR,12339,IND,Indianapolis, IN,740,7,
0.00,FX,Federal Express Corporation,14057,PDX,Portland, OR,12892,LAX,Los Angeles, CA,740,7,
0.00,FX,Federal Express Corporation,14057,PDX,Portland, OR,13024,LMT,Klamath Falls, OR,416,7,
0.00,FX,Federal Express Corporation,14057,PDX,Portland, OR,13244,MEM,Memphis, TN,622,7,
0.00,FX,Federal Express Corporation,14057,PDX,Portland, OR,13244,MEM,Memphis, TN,732,7,
0.00,FX,Federal Express Corporation,14057,PDX,Portland, OR,13244,MEM,Memphis, TN,740,7,
0.00,FX,Federal Express Corporation,14057,PDX,Portland, OR,13264,MFR,Medford, OR,110,7,
0.00,FX,Federal Express Corporation,14057,PDX,Portland, OR,13264,MFR,Medford, OR,416,7,
0.00,FX,Federal Express Corporation,14057,PDX,Portland, OR,13796,OAK,Oakland, CA,730,7,
0.00,FX,Federal Express Corporation,14057,PDX,Portland, OR,13796,OAK,Oakland, CA,732,7,
0.00,FX,Federal Express Corporation,14057,PDX,Portland, OR,13796,OAK,Oakland, CA,740,7,
0.00,FX,Federal Express Corporation,14057,PDX,Portland, OR,13890,ONP,Newport, OR,416,7,
0.00,FX,Federal Express Corporation,14057,PDX,Portland, OR,13964,OTH,North Bend/Coos Bay, OR,416,7,
0.00,FX,Federal Express Corporation,14057,PDX,Portland, OR,14467,RBG,Roseburg, OR,416,7,
0.00,FX,Federal Express Corporation,14057,PDX,Portland, OR,14489,RDM,Bend/Redmond, OR,416,7,
0.00,FX,Federal Express Corporation,14057,PDX,Portland, OR,14747,SEA,Seattle, WA,740,7,
0.00,FX,Federal Express Corporation,14100,PHL,Philadelphia, PA,11995,GSO,Greensboro/High Point, NC,622,7,
0.00,FX,Federal Express Corporation,14100,PHL,Philadelphia, PA,12339,IND,Indianapolis, IN,622,7,
0.00,FX,Federal Express Corporation,14100,PHL,Philadelphia, PA,12339,IND,Indianapolis, IN,626,7,
0.00,FX,Federal Express Corporation,14100,PHL,Philadelphia, PA,12339,IND,Indianapolis, IN,691,7,
0.00,FX,Federal Express Corporation,14100,PHL,Philadelphia, PA,12339,IND,Indianapolis, IN,740,7,
0.00,FX,Federal Express Corporation,14100,PHL,Philadelphia, PA,13244,MEM,Memphis, TN,622,7,
0.00,FX,Federal Express Corporation,14100,PHL,Philadelphia, PA,13244,MEM,Memphis, TN,626,7,
0.00,FX,Federal Express Corporation,14100,PHL,Philadelphia, PA,13244,MEM,Memphis, TN,691,7,
0.00,FX,Federal Express Corporation,14100,PHL,Philadelphia, PA,13244,MEM,Memphis, TN,692,7,
0.00,FX,Federal Express Corporation,14100,PHL,Philadelphia, PA,13244,MEM,Memphis, TN,730,7,
0.00,FX,Federal Express Corporation,14100,PHL,Philadelphia, PA,13244,MEM,Memphis, TN,740,7,
0.00,FX,Federal Express Corporation,14107,PHX,Phoenix, AZ,11695,FLG,Flagstaff, AZ,416,7,
0.00,FX,Federal Express Corporation,14107,PHX,Phoenix, AZ,12132,HII,Lake Havasu City, AZ,416,7,
0.00,FX,Federal Express Corporation,14107,PHX,Phoenix, AZ,12339,IND,Indianapolis, IN,626,7,
0.00,FX,Federal Express Corporation,14107,PHX,Phoenix, AZ,12339,IND,Indianapolis, IN,691,7,
0.00,FX,Federal Express Corporation,14107,PHX,Phoenix, AZ,12339,IND,Indianapolis, IN,732,7,
0.00,FX,Federal Express Corporation,14107,PHX,Phoenix, AZ,12339,IND,Indianapolis, IN,740,7,
0.00,FX,Federal Express Corporation,14107,PHX,Phoenix, AZ,13244,MEM,Memphis, TN,626,7,
0.00,FX,Federal Express Corporation,14107,PHX,Phoenix, AZ,13244,MEM,Memphis, TN,683,7,
0.00,FX,Federal Express Corporation,14107,PHX,Phoenix, AZ,13244,MEM,Memphis, TN,691,7,
0.00,FX,Federal Express Corporation,14107,PHX,Phoenix, AZ,13244,MEM,Memphis, TN,730,7,
0.00,FX,Federal Express Corporation,14107,PHX,Phoenix, AZ,13244,MEM,Memphis, TN,732,7,
0.00,FX,Federal Express Corporation,14107,PHX,Phoenix, AZ,13244,MEM,Memphis, TN,740,7,
0.00,FX,Federal Express Corporation,14107,PHX,Phoenix, AZ,13785,NYL,Yuma, AZ,416,7,
0.00,FX,Federal Express Corporation,14107,PHX,Phoenix, AZ,13796,OAK,Oakland, CA,622,7,
0.00,FX,Federal Express Corporation,14107,PHX,Phoenix, AZ,13796,OAK,Oakland, CA,626,7,
0.00,FX,Federal Express Corporation,14113,PIH,Pocatello, ID,14869,SLC,Salt Lake City, UT,416,7,
0.00,FX,Federal Express Corporation,14120,PIR,Pierre, SD,10141,ABR,Aberdeen, SD,416,7,
0.00,FX,Federal Express Corporation,14120,PIR,Pierre, SD,11775,FSD,Sioux Falls, SD,416,7,
0.00,FX,Federal Express Corporation,14122,PIT,Pittsburgh, PA,10322,AOO,Altoona, PA,416,7,
0.00,FX,Federal Express Corporation,14122,PIT,Pittsburgh, PA,12339,IND,Indianapolis, IN,691,7,
0.00,FX,Federal Express Corporation,14122,PIT,Pittsburgh, PA,13244,MEM,Memphis, TN,626,7,
0.00,FX,Federal Express Corporation,14122,PIT,Pittsburgh, PA,14711,SCE,State College, PA,416,7,
0.00,FX,Federal Express Corporation,14150,PLN,Pellston, MI,11986,GRR,Grand Rapids, MI,416,7,
0.00,FX,Federal Express Corporation,14231,PQI,Presque Isle/Houlton, ME,10581,BGR,Bangor, ME,416,7,
0.00,FX,Federal Express Corporation,14231,PQI,Presque Isle/Houlton, ME,14321,PWM,Portland, ME,416,7,
0.00,FX,Federal Express Corporation,14252,PSC,Pasco/Kennewick/Richland, WA,11884,GEG,Spokane, WA,110,7,
0.00,FX,Federal Express Corporation,14252,PSC,Pasco/Kennewick/Richland, WA,11884,GEG,Spokane, WA,416,7,
0.00,FX,Federal Express Corporation,14307,PVD,Providence, RI,10154,ACK,Nantucket, MA,416,7,
0.00,FX,Federal Express Corporation,14307,PVD,Providence, RI,11823,FWA,Fort Wayne, IN,622,7,
0.00,FX,Federal Express Corporation,14307,PVD,Providence, RI,13244,MEM,Memphis, TN,622,7,
0.00,FX,Federal Express Corporation,14307,PVD,Providence, RI,13541,MVY,Martha's Vineyard, MA,416,7,
0.00,FX,Federal Express Corporation,14321,PWM,Portland, ME,10581,BGR,Bangor, ME,416,7,
0.00,FX,Federal Express Corporation,14321,PWM,Portland, ME,10721,BOS,Boston, MA,622,7,
0.00,FX,Federal Express Corporation,14321,PWM,Portland, ME,10785,BTV,Burlington, VT,622,7,
0.00,FX,Federal Express Corporation,14321,PWM,Portland, ME,13244,MEM,Memphis, TN,622,7,
0.00,FX,Federal Express Corporation,14321,PWM,Portland, ME,14231,PQI,Presque Isle/Houlton, ME,416,7,
0.00,FX,Federal Express Corporation,14457,RAP,Rapid City, SD,11775,FSD,Sioux Falls, SD,110,7,
0.00,FX,Federal Express Corporation,14467,RBG,Roseburg, OR,11603,EUG,Eugene, OR,416,7,
0.00,FX,Federal Express Corporation,14467,RBG,Roseburg, OR,13264,MFR,Medford, OR,416,7,
0.00,FX,Federal Express Corporation,14467,RBG,Roseburg, OR,14057,PDX,Portland, OR,416,7,
0.00,FX,Federal Express Corporation,14487,RDD,Redding, CA,14893,SMF,Sacramento, CA,416,7,
0.00,FX,Federal Express Corporation,14489,RDM,Bend/Redmond, OR,11603,EUG,Eugene, OR,416,7,
0.00,FX,Federal Express Corporation,14489,RDM,Bend/Redmond, OR,14057,PDX,Portland, OR,416,7,
0.00,FX,Federal Express Corporation,14492,RDU,Raleigh/Durham, NC,11617,EWN,New Bern/Morehead/Beaufort, NC,110,7,
0.00,FX,Federal Express Corporation,14492,RDU,Raleigh/Durham, NC,12323,ILM,Wilmington, NC,110,7,
0.00,FX,Federal Express Corporation,14492,RDU,Raleigh/Durham, NC,12339,IND,Indianapolis, IN,626,7,
0.00,FX,Federal Express Corporation,14492,RDU,Raleigh/Durham, NC,13244,MEM,Memphis, TN,626,7,
0.00,FX,Federal Express Corporation,14520,RHI,Rhinelander, WI,13342,MKE,Milwaukee, WI,416,7,
0.00,FX,Federal Express Corporation,14524,RIC,Richmond, VA,12917,LCK,Columbus, OH,691,7,
0.00,FX,Federal Express Corporation,14524,RIC,Richmond, VA,13244,MEM,Memphis, TN,622,7,
0.00,FX,Federal Express Corporation,14524,RIC,Richmond, VA,13244,MEM,Memphis, TN,691,7,
0.00,FX,Federal Express Corporation,14543,RKS,Rock Springs, WY,11122,CPR,Casper, WY,416,7,
0.00,FX,Federal Express Corporation,14570,RNO,Reno, NV,10713,BOI,Boise, ID,622,7,
0.00,FX,Federal Express Corporation,14570,RNO,Reno, NV,13244,MEM,Memphis, TN,622,7,
0.00,FX,Federal Express Corporation,14570,RNO,Reno, NV,13244,MEM,Memphis, TN,626,7,
0.00,FX,Federal Express Corporation,14570,RNO,Reno, NV,13796,OAK,Oakland, CA,622,7,
0.00,FX,Federal Express Corporation,14574,ROA,Roanoke, VA,13244,MEM,Memphis, TN,622,7,
0.00,FX,Federal Express Corporation,14574,ROA,Roanoke, VA,14730,SDF,Louisville, KY,622,7,
0.00,FX,Federal Express Corporation,14576,ROC,Rochester, NY,11537,ELM,Elmira/Corning, NY,416,7,
0.00,FX,Federal Express Corporation,14576,ROC,Rochester, NY,11618,EWR,Newark, NJ,626,7,
0.00,FX,Federal Express Corporation,14576,ROC,Rochester, NY,13244,MEM,Memphis, TN,626,7,
0.00,FX,Federal Express Corporation,14588,ROW,Roswell, NM,12896,LBB,Lubbock, TX,416,7,
0.00,FX,Federal Express Corporation,14633,RST,Rochester, MN,13244,MEM,Memphis, TN,622,7,
0.00,FX,Federal Express Corporation,14635,RSW,Fort Myers, FL,13244,MEM,Memphis, TN,691,7,
0.00,FX,Federal Express Corporation,14679,SAN,San Diego, CA,12339,IND,Indianapolis, IN,626,7,
0.00,FX,Federal Express Corporation,14679,SAN,San Diego, CA,12363,IPL,El Centro, CA,416,7,
0.00,FX,Federal Express Corporation,14679,SAN,San Diego, CA,13244,MEM,Memphis, TN,626,7,
0.00,FX,Federal Express Corporation,14679,SAN,San Diego, CA,13796,OAK,Oakland, CA,622,7,
0.00,FX,Federal Express Corporation,14683,SAT,San Antonio, TX,10194,AFW,Dallas/Fort Worth, TX,692,7,
0.00,FX,Federal Express Corporation,14683,SAT,San Antonio, TX,11298,DFW,Dallas/Fort Worth, TX,732,7,
0.00,FX,Federal Express Corporation,14683,SAT,San Antonio, TX,11298,DFW,Dallas/Fort Worth, TX,740,7,
0.00,FX,Federal Express Corporation,14683,SAT,San Antonio, TX,11415,DRT,Del Rio, TX,416,7,
0.00,FX,Federal Express Corporation,14683,SAT,San Antonio, TX,13061,LRD,Laredo, TX,622,7,
0.00,FX,Federal Express Corporation,14683,SAT,San Antonio, TX,13061,LRD,Laredo, TX,692,7,
