PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,AIRCRAFT_TYPE,MONTH,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,15295,TOL,Toledo, OH,14524,RIC,Richmond, VA,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,15295,TOL,Toledo, OH,14683,SAT,San Antonio, TX,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,15304,TPA,Tampa, FL,13303,MIA,Miami, FL,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,16101,YKM,Yakima, WA,14683,SAT,San Antonio, TX,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,13303,MIA,Miami, FL,14843,SJU,San Juan, PR,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,14843,SJU,San Juan, PR,13303,MIA,Miami, FL,655,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13061,LRD,Laredo, TX,691,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13061,LRD,Laredo, TX,692,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13198,MCI,Kansas City, MO,622,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13198,MCI,Kansas City, MO,730,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13198,MCI,Kansas City, MO,732,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13198,MCI,Kansas City, MO,740,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13204,MCO,Orlando, FL,626,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13204,MCO,Orlando, FL,691,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13204,MCO,Orlando, FL,730,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13204,MCO,Orlando, FL,740,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13230,MDT,Harrisburg, PA,622,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13230,MDT,Harrisburg, PA,691,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13296,MHT,Manchester, NH,626,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13303,MIA,Miami, FL,626,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13303,MIA,Miami, FL,730,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13303,MIA,Miami, FL,732,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13303,MIA,Miami, FL,740,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13342,MKE,Milwaukee, WI,626,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13342,MKE,Milwaukee, WI,691,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13342,MKE,Milwaukee, WI,730,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13377,MLU,Monroe, LA,416,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13485,MSN,Madison, WI,691,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13487,MSP,Minneapolis, MN,110,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13487,MSP,Minneapolis, MN,622,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13487,MSP,Minneapolis, MN,626,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13487,MSP,Minneapolis, MN,732,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13487,MSP,Minneapolis, MN,740,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13495,MSY,New Orleans, LA,691,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13495,MSY,New Orleans, LA,730,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13495,MSY,New Orleans, LA,740,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13796,OAK,Oakland, CA,626,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13796,OAK,Oakland, CA,683,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13796,OAK,Oakland, CA,691,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13796,OAK,Oakland, CA,730,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13796,OAK,Oakland, CA,740,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13851,OKC,Oklahoma City, OK,622,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13851,OKC,Oklahoma City, OK,691,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13871,OMA,Omaha, NE,622,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13871,OMA,Omaha, NE,691,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13871,OMA,Omaha, NE,692,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13891,ONT,Ontario, CA,683,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13891,ONT,Ontario, CA,730,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13891,ONT,Ontario, CA,740,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13930,ORD,Chicago, IL,626,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13930,ORD,Chicago, IL,730,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13930,ORD,Chicago, IL,732,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13930,ORD,Chicago, IL,740,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13931,ORF,Norfolk, VA,622,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,13931,ORF,Norfolk, VA,691,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,14027,PBI,West Palm Beach/Palm Beach, FL,691,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,14057,PDX,Portland, OR,626,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,14057,PDX,Portland, OR,691,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,14057,PDX,Portland, OR,730,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,14057,PDX,Portland, OR,732,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,14057,PDX,Portland, OR,740,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,14100,PHL,Philadelphia, PA,626,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,14100,PHL,Philadelphia, PA,691,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,14100,PHL,Philadelphia, PA,692,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,14100,PHL,Philadelphia, PA,730,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,14100,PHL,Philadelphia, PA,740,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,14107,PHX,Phoenix, AZ,626,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,14107,PHX,Phoenix, AZ,683,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,14107,PHX,Phoenix, AZ,691,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,14107,PHX,Phoenix, AZ,730,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,14107,PHX,Phoenix, AZ,732,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,14107,PHX,Phoenix, AZ,740,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,14122,PIT,Pittsburgh, PA,626,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,14122,PIT,Pittsburgh, PA,691,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,14307,PVD,Providence, RI,622,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,14321,PWM,Portland, ME,622,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,14492,RDU,Raleigh/Durham, NC,626,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,14524,RIC,Richmond, VA,622,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,14524,RIC,Richmond, VA,691,6,
0.00,FX,Federal Express Corporation,13244,MEM,Memphis, TN,14570,RNO,Reno, NV,622,6,
