PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,AIRCRAFT_TYPE,MONTH,
0.00,FX,Federal Express Corporation,10141,ABR,Aberdeen, SD,11775,FSD,Sioux Falls, SD,416,3,
0.00,FX,Federal Express Corporation,10154,ACK,Nantucket, MA,14307,PVD,Providence, RI,416,3,
0.00,FX,Federal Express Corporation,10157,ACV,Arcata/Eureka, CA,14893,SMF,Sacramento, CA,416,3,
0.00,FX,Federal Express Corporation,10157,ACV,Arcata/Eureka, CA,15458,UKI,Ukiah, CA,416,3,
0.00,FX,Federal Express Corporation,10170,ADQ,Kodiak, AK,10299,ANC,Anchorage, AK,110,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,10423,AUS,Austin, TX,416,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,10800,BUR,Burbank, CA,691,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,11292,DEN,Denver, CO,622,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,11540,ELP,El Paso, TX,691,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,12266,IAH,Houston, TX,730,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,12278,ICT,Wichita, KS,110,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,12278,ICT,Wichita, KS,416,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,12278,ICT,Wichita, KS,622,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,12892,LAX,Los Angeles, CA,730,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,12892,LAX,Los Angeles, CA,732,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,12892,LAX,Los Angeles, CA,740,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,12896,LBB,Lubbock, TX,110,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,12896,LBB,Lubbock, TX,416,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,13061,LRD,Laredo, TX,622,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,13158,MAF,Midland/Odessa, TX,110,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,13198,MCI,Kansas City, MO,622,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,13244,MEM,Memphis, TN,622,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,13244,MEM,Memphis, TN,730,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,13487,MSP,Minneapolis, MN,622,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,13796,OAK,Oakland, CA,691,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,13930,ORD,Chicago, IL,730,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,14057,PDX,Portland, OR,622,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,14683,SAT,San Antonio, TX,622,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,14747,SEA,Seattle, WA,622,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,14814,SHV,Shreveport, LA,110,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,14814,SHV,Shreveport, LA,622,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,14831,SJC,San Jose, CA,691,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,14869,SLC,Salt Lake City, UT,622,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,15304,TPA,Tampa, FL,622,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,15370,TUL,Tulsa, OK,110,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,15370,TUL,Tulsa, OK,416,3,
0.00,FX,Federal Express Corporation,10194,AFW,Dallas/Fort Worth, TX,15370,TUL,Tulsa, OK,622,3,
0.00,FX,Federal Express Corporation,10257,ALB,Albany, NY,11618,EWR,Newark, NJ,416,3,
0.00,FX,Federal Express Corporation,10257,ALB,Albany, NY,13244,MEM,Memphis, TN,622,3,
0.00,FX,Federal Express Corporation,10257,ALB,Albany, NY,14025,PBG,Plattsburgh, NY,416,3,
0.00,FX,Federal Express Corporation,10257,ALB,Albany, NY,14648,RUT,Rutland, VT,416,3,
0.00,FX,Federal Express Corporation,10299,ANC,Anchorage, AK,10170,ADQ,Kodiak, AK,110,3,
0.00,FX,Federal Express Corporation,10299,ANC,Anchorage, AK,11555,ENA,Kenai, AK,416,3,
0.00,FX,Federal Express Corporation,10299,ANC,Anchorage, AK,11618,EWR,Newark, NJ,740,3,
0.00,FX,Federal Express Corporation,10299,ANC,Anchorage, AK,11630,FAI,Fairbanks, AK,110,3,
0.00,FX,Federal Express Corporation,10299,ANC,Anchorage, AK,12016,GUM,Guam, TT,740,3,
0.00,FX,Federal Express Corporation,10299,ANC,Anchorage, AK,12184,HOM,Homer, AK,416,3,
0.00,FX,Federal Express Corporation,10299,ANC,Anchorage, AK,12339,IND,Indianapolis, IN,740,3,
0.00,FX,Federal Express Corporation,10299,ANC,Anchorage, AK,13244,MEM,Memphis, TN,626,3,
0.00,FX,Federal Express Corporation,10299,ANC,Anchorage, AK,13244,MEM,Memphis, TN,683,3,
0.00,FX,Federal Express Corporation,10299,ANC,Anchorage, AK,13244,MEM,Memphis, TN,732,3,
0.00,FX,Federal Express Corporation,10299,ANC,Anchorage, AK,13244,MEM,Memphis, TN,740,3,
0.00,FX,Federal Express Corporation,10299,ANC,Anchorage, AK,13796,OAK,Oakland, CA,683,3,
0.00,FX,Federal Express Corporation,10299,ANC,Anchorage, AK,13796,OAK,Oakland, CA,730,3,
0.00,FX,Federal Express Corporation,10299,ANC,Anchorage, AK,13796,OAK,Oakland, CA,740,3,
0.00,FX,Federal Express Corporation,10333,APN,Alpena, MI,11721,FNT,Flint, MI,416,3,
0.00,FX,Federal Express Corporation,10347,ARA,New Iberia, LA,13244,MEM,Memphis, TN,740,3,
0.00,FX,Federal Express Corporation,10397,ATL,Atlanta, GA,10194,AFW,Dallas/Fort Worth, TX,622,3,
0.00,FX,Federal Express Corporation,10397,ATL,Atlanta, GA,10194,AFW,Dallas/Fort Worth, TX,691,3,
0.00,FX,Federal Express Corporation,10397,ATL,Atlanta, GA,11150,CSG,Columbus, GA,416,3,
0.00,FX,Federal Express Corporation,10397,ATL,Atlanta, GA,11298,DFW,Dallas/Fort Worth, TX,626,3,
0.00,FX,Federal Express Corporation,10397,ATL,Atlanta, GA,11618,EWR,Newark, NJ,622,3,
0.00,FX,Federal Express Corporation,10397,ATL,Atlanta, GA,11995,GSO,Greensboro/High Point, NC,691,3,
0.00,FX,Federal Express Corporation,10397,ATL,Atlanta, GA,12339,IND,Indianapolis, IN,626,3,
0.00,FX,Federal Express Corporation,10397,ATL,Atlanta, GA,12339,IND,Indianapolis, IN,730,3,
0.00,FX,Federal Express Corporation,10397,ATL,Atlanta, GA,13244,MEM,Memphis, TN,622,3,
0.00,FX,Federal Express Corporation,10397,ATL,Atlanta, GA,13244,MEM,Memphis, TN,626,3,
0.00,FX,Federal Express Corporation,10397,ATL,Atlanta, GA,13244,MEM,Memphis, TN,730,3,
0.00,FX,Federal Express Corporation,10397,ATL,Atlanta, GA,13244,MEM,Memphis, TN,732,3,
0.00,FX,Federal Express Corporation,10408,ATW,Appleton, WI,13342,MKE,Milwaukee, WI,691,3,
0.00,FX,Federal Express Corporation,10408,ATW,Appleton, WI,13485,MSN,Madison, WI,691,3,
0.00,FX,Federal Express Corporation,10423,AUS,Austin, TX,10194,AFW,Dallas/Fort Worth, TX,416,3,
0.00,FX,Federal Express Corporation,10423,AUS,Austin, TX,10817,BWD,Brownwood, TX,416,3,
0.00,FX,Federal Express Corporation,10423,AUS,Austin, TX,11540,ELP,El Paso, TX,740,3,
0.00,FX,Federal Express Corporation,10423,AUS,Austin, TX,13244,MEM,Memphis, TN,730,3,
0.00,FX,Federal Express Corporation,10423,AUS,Austin, TX,13244,MEM,Memphis, TN,732,3,
0.00,FX,Federal Express Corporation,10423,AUS,Austin, TX,13244,MEM,Memphis, TN,740,3,
0.00,FX,Federal Express Corporation,10423,AUS,Austin, TX,14842,SJT,San Angelo, TX,416,3,
0.00,FX,Federal Express Corporation,10434,AVP,Scranton/Wilkes-Barre, PA,13230,MDT,Harrisburg, PA,416,3,
