Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 21, 6225318, 31, 97, 31
01-20, 22, 6225309, 24, 110, 34
01-20, 22, 6228119, 24, 108, 35
01-20, 23, 6228108, 29, 111, 38
01-20, 23, 6230917, 29, 111, 38
01-20, 24, 6230907, 27, 122, 39
01-20, 24, 6233716, 27, 121, 40
01-20, 25, 6233706, 28, 127, 43
01-20, 25, 6236518, 28, 125, 42
01-20, 26, 6236505, 30, 134, 44
01-20, 26, 6239316, 30, 133, 43
01-20, 27, 6239299, 40, 137, 46
01-20, 27, 6242108, 39, 138, 46
01-20, 28, 6242098, 32, 153, 48
01-20, 28, 6244904, 34, 152, 50
01-20, 29, 6244886, 36, 161, 57
01-20, 29, 6247695, 35, 162, 57
01-20, 30, 6247676, 42, 166, 65
01-20, 30, 6250486, 41, 166, 65
01-20, 31, 6250467, 45, 177, 69
Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA
01-20, 1, 6102434, 0, 0, 0
01-20, 1, 6104507, 0, 0, 0
01-20, 2, 6104504, 3, 0, 0
01-20, 2, 6106577, 3, 0, 0
01-20, 3, 6106568, 11, 1, 0
01-20, 3, 6108641, 11, 1, 0
01-20, 4, 6108632, 17, 4, 0
01-20, 4, 6110705, 17, 4, 0
01-20, 5, 6110701, 16, 9, 0
01-20, 5, 6112774, 16, 9, 0
01-20, 6, 6112767, 19, 13, 0
01-20, 6, 6114840, 19, 13, 0
01-20, 7, 6114833, 19, 20, 0
01-20, 7, 6116906, 19, 20, 0
01-20, 8, 6116898, 19, 27, 1
01-20, 8, 6118971, 19, 27, 1
01-20, 9, 6118962, 22, 33, 1
01-20, 9, 6121035, 22, 33, 1
01-20, 10, 6121028, 18, 42, 3
01-20, 10, 6123100, 18, 43, 3
01-20, 11, 6123093, 15, 48, 8
01-20, 11, 6125165, 15, 49, 8
01-20, 12, 6125159, 16, 53, 9
01-20, 12, 6127230, 17, 54, 9
01-20, 13, 6127224, 16, 59, 11
01-20, 13, 6129296, 16, 60, 11
01-20, 14, 6129289, 15, 64, 15
01-20, 14, 6131360, 15, 64, 17
01-20, 15, 6131355, 13, 69, 19
01-20, 15, 6133426, 14, 69, 20
01-20, 16, 6133420, 16, 69, 24
01-20, 16, 6135491, 16, 69, 26
01-20, 17, 6135481, 17, 76, 28
01-20, 17, 6137550, 18, 78, 29
01-20, 18, 6137539, 19, 85, 32
01-20, 18, 6139608, 20, 87, 33
01-20, 19, 6139604, 20, 90, 34
01-20, 19, 6141672, 22, 93, 34
01-20, 20, 6141664, 23, 96, 38
01-20, 20, 6143734, 23, 98, 39
01-20, 21, 6143724, 27, 100, 43
01-20, 21, 6145795, 27, 100, 45
01-20, 22, 6145791, 24, 103, 49
01-20, 22, 6147862, 24, 103, 51
01-20, 23, 6147850, 26, 111, 53
01-20, 23, 6149921, 26, 112, 54
01-20, 24, 6149910, 26, 117, 60
01-20, 24, 6151981, 26, 117, 62
01-20, 25, 6151969, 26, 120, 71
01-20, 25, 6154038, 26, 122, 73
01-20, 26, 6154032, 21, 127, 79
01-20, 26, 6156101, 21, 129, 81
01-20, 27, 6156081, 33, 131, 87
01-20, 27, 6158149, 34, 134, 88
01-20, 28, 6158134, 33, 142, 96
01-20, 28, 6160202, 34, 145, 97
01-20, 29, 6160195, 28, 151, 104
01-20, 29, 6162263, 29, 154, 105
01-20, 30, 6162248, 30, 160, 113
01-20, 30, 6164315, 31, 162, 116
01-20, 31, 6164289, 43, 172, 120
