Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 20, 13195467, 31, 160, 46
01-20, 20, 13194457, 33, 161, 48
01-20, 21, 13194443, 34, 168, 54
01-20, 21, 13193437, 34, 168, 55
01-20, 22, 13193416, 41, 173, 64
01-20, 22, 13192412, 41, 171, 65
01-20, 23, 13192398, 36, 179, 76
01-20, 23, 13191392, 36, 178, 78
01-20, 24, 13191379, 33, 186, 86
01-20, 24, 13190377, 33, 182, 87
01-20, 25, 13190369, 29, 190, 91
01-20, 25, 13189362, 29, 190, 93
01-20, 26, 13189342, 36, 196, 100
01-20, 26, 13188336, 36, 194, 103
01-20, 27, 13188319, 36, 205, 109
01-20, 27, 13187314, 36, 203, 111
01-20, 28, 13187301, 34, 212, 117
01-20, 28, 13186296, 34, 210, 119
01-20, 29, 13186281, 36, 218, 124
01-20, 29, 13185273, 36, 218, 127
01-20, 30, 13185241, 57, 216, 140
01-20, 30, 13184235, 56, 215, 143
01-20, 31, 13184210, 60, 229, 150
01-20, 31, 13183202, 60, 229, 153
02-19, 1, 13183178, 66, 237, 163
02-19, 1, 13185875, 66, 237, 164
02-19, 2, 13185856, 61, 256, 169
02-19, 2, 13188552, 61, 256, 171
02-19, 3, 13188532, 59, 274, 175
02-19, 3, 13191232, 59, 270, 177
02-19, 4, 13191205, 62, 285, 186
02-19, 4, 13193900, 62, 287, 187
02-19, 5, 13193868, 69, 302, 197
02-19, 5, 13196562, 69, 304, 199
02-19, 6, 13196536, 68, 322, 208
02-19, 6, 13199232, 68, 323, 209
02-19, 7, 13199196, 72, 344, 220
02-19, 7, 13201889, 73, 346, 222
02-19, 8, 13201858, 71, 366, 235
02-19, 8, 13204547, 71, 373, 237
02-19, 9, 13204516, 74, 384, 254
02-19, 9, 13207210, 74, 385, 257
02-19, 10, 13207173, 73, 412, 268
02-19, 10, 13209868, 74, 414, 268
02-19, 11, 13209837, 85, 418, 284
02-19, 11, 13212533, 85, 419, 285
02-19, 12, 13212490, 95, 435, 302
02-19, 12, 13215185, 95, 437, 303
02-19, 13, 13215148, 93, 460, 319
02-19, 13, 13217844, 94, 459, 321
02-19, 14, 13217799, 98, 484, 337
02-19, 14, 13220504, 98, 480, 334
02-19, 15, 13220446, 109, 509, 352
02-19, 15, 13223136, 113, 511, 354
02-19, 16, 13223079, 130, 526, 379
02-19, 16, 13225766, 136, 529, 381
02-19, 17, 13225719, 123, 574, 396
02-19, 17, 13228409, 124, 577, 400
02-19, 18, 13228351, 130, 605, 424
02-19, 18, 13231039, 132, 612, 425
02-19, 19, 13230981, 144, 641, 442
02-19, 19, 13233665, 147, 647, 447
02-19, 20, 13233603, 158, 680, 465
02-19, 20, 13236289, 161, 688, 466
02-19, 21, 13236222, 162, 728, 492
02-19, 21, 13238897, 167, 741, 497
02-19, 22, 13238814, 190, 773, 525
02-19, 22, 13241489, 196, 781, 534
02-19, 23, 13241391, 210, 836, 563
02-19, 23, 13244083, 212, 838, 565
02-19, 24, 13244001, 221, 881, 595
02-19, 24, 13246683, 225, 889, 599
02-19, 25, 13246607, 200, 966, 623
02-19, 25, 13249289, 208, 974, 623
02-19, 26, 13249185, 229, 1011, 669
02-19, 26, 13251874, 232, 1015, 671
02-19, 27, 13251769, 236, 1075, 712
02-19, 27, 13254458, 238, 1080, 714
02-19, 28, 13254352, 244, 1130, 764
02-19, 28, 13257040, 245, 1137, 766
02-19, 29, 13256934, 257, 1191, 806
02-19, 29, 13259622, 257, 1194, 813
03-19, 1, 13259503, 273, 1256, 854
03-19, 1, 13259701, 274, 1257, 854
03-19, 2, 13259681, 183, 1323, 899
03-19, 2, 13259880, 183, 1323, 900
03-19, 3, 13259855, 139, 1337, 955
03-19, 3, 13260055, 138, 1338, 955
03-19, 4, 13260028, 113, 1342, 1003
03-19, 4, 13260227, 113, 1343, 1003
03-19, 5, 13260200, 96, 1348, 1042
03-19, 5, 13260399, 96, 1349, 1042
03-19, 6, 13260364, 96, 1344, 1082
03-19, 6, 13260564, 95, 1345, 1082
03-19, 7, 13260542, 80, 1330, 1134
03-19, 7, 13260742, 79, 1331, 1134
03-19, 8, 13260724, 66, 1309, 1187
03-19, 8, 13260922, 66, 1311, 1187
03-19, 9, 13260896, 71, 1292, 1227
03-19, 9, 13261093, 72, 1293, 1228
03-19, 10, 13261056, 79, 1282, 1269
03-19, 10, 13261258, 78, 1281, 1269
03-19, 11, 13261230, 69, 1267, 1320
03-19, 11, 13261429, 69, 1268, 1320
03-19, 12, 13261399, 70, 1257, 1360
03-19, 12, 13261598, 69, 1258, 1361
