Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 28, 13186221, 62, 258, 118
01-20, 29, 13186196, 60, 273, 130
01-20, 29, 13185196, 60, 270, 128
01-20, 30, 13185165, 67, 284, 138
01-20, 30, 13184164, 67, 282, 136
01-20, 31, 13184144, 61, 298, 146
01-20, 31, 13183141, 61, 298, 144
02-19, 1, 13183101, 65, 322, 156
02-19, 1, 13185801, 65, 319, 157
02-19, 2, 13185770, 64, 336, 172
02-19, 2, 13188468, 64, 336, 172
02-19, 3, 13188437, 73, 345, 185
02-19, 3, 13191136, 74, 344, 184
02-19, 4, 13191094, 90, 358, 196
02-19, 4, 13193786, 92, 359, 199
02-19, 5, 13193755, 91, 373, 217
02-19, 5, 13196452, 91, 371, 220
02-19, 6, 13196416, 92, 392, 234
02-19, 6, 13199114, 92, 391, 235
02-19, 7, 13199064, 109, 407, 252
02-19, 7, 13201757, 110, 411, 252
02-19, 8, 13201711, 111, 436, 272
02-19, 8, 13204402, 112, 437, 277
02-19, 9, 13204364, 107, 463, 294
02-19, 9, 13207055, 108, 468, 295
02-19, 10, 13207015, 102, 502, 307
02-19, 10, 13209709, 103, 503, 309
02-19, 11, 13209658, 118, 517, 331
02-19, 11, 13212349, 120, 520, 333
02-19, 12, 13212287, 124, 559, 352
02-19, 12, 13214984, 126, 561, 349
02-19, 13, 13214939, 133, 575, 373
02-19, 13, 13217635, 136, 578, 369
02-19, 14, 13217582, 145, 597, 394
02-19, 14, 13220278, 144, 600, 394
02-19, 15, 13220211, 159, 630, 416
02-19, 15, 13222914, 158, 628, 414
02-19, 16, 13222850, 161, 670, 433
02-19, 16, 13225548, 161, 670, 433
02-19, 17, 13225481, 169, 706, 456
02-19, 17, 13228183, 170, 706, 451
02-19, 18, 13228106, 176, 761, 467
02-19, 18, 13230803, 177, 760, 468
02-19, 19, 13230710, 196, 806, 496
02-19, 19, 13233412, 196, 801, 497
02-19, 20, 13233326, 207, 848, 525
02-19, 20, 13236029, 209, 846, 520
02-19, 21, 13235941, 214, 899, 550
02-19, 21, 13238636, 218, 901, 547
02-19, 22, 13238559, 199, 965, 579
02-19, 22, 13241236, 206, 977, 581
02-19, 23, 13241121, 237, 1031, 611
02-19, 23, 13243825, 236, 1028, 609
02-19, 24, 13243696, 250, 1114, 638
02-19, 24, 13246389, 251, 1120, 636
02-19, 25, 13246273, 272, 1166, 685
02-19, 25, 13248964, 275, 1169, 686
02-19, 26, 13248844, 281, 1245, 724
02-19, 26, 13251544, 283, 1243, 722
02-19, 27, 13251431, 283, 1320, 758
02-19, 27, 13254132, 285, 1313, 760
02-19, 28, 13254004, 302, 1381, 803
02-19, 28, 13256692, 301, 1392, 803
02-19, 29, 13256572, 305, 1449, 862
02-19, 29, 13259273, 306, 1444, 863
03-19, 1, 13259120, 332, 1525, 909
03-19, 1, 13259526, 333, 1526, 910
03-19, 2, 13259442, 283, 1614, 956
03-19, 2, 13259848, 283, 1614, 959
03-19, 3, 13259754, 257, 1668, 1025
03-19, 3, 13260161, 257, 1669, 1026
